City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
236,Salym,RU,60.0625,71.4789,58.23,72,11,4.9,few clouds
237,Asilah,MA,35.465,-6.0348,78.76,85,0,6.29,clear sky
238,Cairns,AU,-16.9167,145.7667,67.95,88,60,6.91,broken clouds
239,Port-Gentil,GA,-0.7193,8.7815,74.03,76,89,16.13,overcast clouds
240,Ayan,RU,56.45,138.1667,55.92,98,100,11.21,light rain
241,Dogondoutchi,NE,13.6393,4.0287,81.03,65,70,9.19,broken clouds
242,Terrace,CA,54.5163,-128.6035,66.11,55,75,8.05,broken clouds
243,Souillac,MU,-20.5167,57.5167,70.18,73,20,16.11,few clouds
244,Castro,BR,-24.7911,-50.0119,65.3,55,69,4.45,broken clouds
245,Provideniya,RU,64.3833,-173.3,51.91,93,100,8.99,overcast clouds
246,Esmeraldas,BR,-19.7625,-44.3139,77.86,37,35,1.61,scattered clouds
247,Olinda,BR,-8.0089,-34.8553,76.73,78,40,13.8,scattered clouds
248,Carnarvon,AU,-24.8667,113.6333,58.84,59,48,13.71,scattered clouds
249,Shelburne,CA,44.0787,-80.2041,78.24,72,100,6.91,overcast clouds
250,Pevek,RU,69.7008,170.3133,36.86,96,100,6.82,light rain
251,Leningradskiy,RU,69.3833,178.4167,38.07,92,100,8.93,overcast clouds
252,Port Elizabeth,ZA,-33.918,25.5701,52.32,93,0,5.75,clear sky
253,Fortuna,US,40.5982,-124.1573,74.93,68,0,13.8,clear sky
254,Lata,PT,40.1629,-8.3327,66.81,97,41,1.74,scattered clouds
255,Port Loko,SL,8.7667,-12.7833,72.91,97,100,4.38,light rain
256,Malindi,KE,-3.2175,40.1191,74.41,77,1,15.23,clear sky
257,Cheyenne,US,41.14,-104.8203,93.34,19,75,9.22,broken clouds
258,Hithadhoo,MV,-0.6,73.0833,81.03,70,99,11.52,overcast clouds
259,Hofn,IS,64.2539,-15.2082,50.27,70,45,10.51,scattered clouds
260,Tahta,EG,26.7693,31.5021,88.61,24,17,7.92,few clouds
261,Bourges,FR,47.25,2.4167,78.39,80,62,9.1,broken clouds
262,Jiuquan,CN,39.7432,98.5174,77.09,30,8,2.73,clear sky
263,Tokur,RU,53.1333,132.9,59.94,86,73,3.04,broken clouds
264,Mikhaylovka,RU,50.06,43.2379,74.7,45,98,12.91,light rain
265,Gillette,US,44.2911,-105.5022,96.03,15,0,5.01,clear sky
266,Mecca,SA,21.4267,39.8261,91.63,42,12,0.58,heavy intensity rain
267,Karpathos,GR,35.507,27.2132,75.16,83,0,25.32,light rain
268,Carhuamayo,PE,-10.9167,-76.0333,42.91,72,97,10.56,overcast clouds
269,Bubaque,GW,11.2833,-15.8333,79.75,81,100,11.79,light rain
270,Ancud,CL,-41.8697,-73.8203,43.23,69,100,3.31,overcast clouds
271,Nuevo Progreso,MX,23.1667,-97.95,93.54,49,56,7.0,broken clouds
272,Tual,ID,-5.6667,132.75,79.83,84,100,6.73,overcast clouds
273,Fairbanks,US,64.8378,-147.7164,75.09,52,20,8.05,few clouds
