City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
332,Kajaani,FI,62.65,clear sky,64.2273,27.7285,Scandic Kajanus
334,Kismayo,SO,75.43,clear sky,-0.3582,42.5454,Agan-Hotel
336,Krasnoarmeysk,RU,67.3,few clouds,51.0239,45.6969,"Hotel ""Your home-Balzer"""
337,Creel,MX,72.77,broken clouds,27.75,-107.6333,The Lodge at Creel Hotel & SPA
338,Petropavlovsk-Kamchatskiy,RU,57.79,clear sky,53.0452,158.6483,Hotel Arsenev
339,Matara,LK,77.92,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
341,Paita,PE,66.07,broken clouds,-5.0892,-81.1144,Hotel Marina Del Bay
344,Esperance,AU,48.04,light rain,-33.8667,121.9,Comfort Inn Bay of Isles
345,Ust-Ilimsk,RU,48.18,overcast clouds,58.0006,102.6619,"Gostinitsa ""Ust'-Ilim"""
347,Kaga,JP,77.04,overcast clouds,36.2997,136.3145,APA HOTEL KAGADAISHOJI-EKIMAE
348,Marsa Matruh,EG,78.37,clear sky,31.3525,27.2453,Air Force hotel
349,Mount Gambier,AU,45.36,overcast clouds,-37.8333,140.7667,The Commodore
350,Codrington,AU,47.53,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
351,Paraiso,CR,65.41,overcast clouds,9.8383,-83.8656,Navarro Mountain Dream
352,Salinopolis,BR,79.11,broken clouds,-0.6136,-47.3561,Hotel Privê do Atalaia
353,Port-Cartier,CA,64.74,overcast clouds,50.0334,-66.8654,Le Q'Artier
355,Nouadhibou,MR,75.18,overcast clouds,20.931,-17.0347,Hotel Delphin-Nouadhibou
356,Lodja,CD,74.66,clear sky,-3.4833,23.4333,HÔTEL VERAL LODGE
358,Chara,RU,51.1,heavy intensity rain,56.9064,118.2631,Kodar
362,Port Macquarie,AU,59.9,overcast clouds,-31.4333,152.9167,ibis Styles Port Macquarie
363,Jiayuguan,CN,76.64,few clouds,39.8167,98.3,Jiayuguan Hotel
364,Derzhavinsk,KZ,64.08,clear sky,51.1,66.3167,Gostinitsa Galaktika
365,Alyangula,AU,74.64,scattered clouds,-13.8483,136.4192,Groote Eylandt Lodge
366,Poya,NC,75.96,few clouds,-21.35,165.15,Sheraton New Caledonia Deva Spa & Golf Resort
370,Atambua,ID,67.5,few clouds,-9.1061,124.8925,Hotel King Star
371,Pietarsaari,FI,61.9,overcast clouds,63.65,22.6833,JK Hotels & Resorts Ab
372,Sao Filipe,CV,77.05,overcast clouds,14.8961,-24.4956,Hotel Santos Pina
373,Teguise,ES,70.02,few clouds,29.0605,-13.564,HOTEL BOUTIQUE PALACIO ICO
375,Namie,JP,71.71,overcast clouds,37.4833,141.0,Hotel Futabanomori
376,Mizdah,LY,75.31,light rain,31.4451,12.9801,فندق مزدة الكبير
377,Isangel,VU,77.11,few clouds,-19.55,169.2667,Tanna Ikamir Guest House
378,Ciechanow,PL,66.06,few clouds,52.8814,20.62,Lofft Hotel
379,Haines Junction,CA,71.55,overcast clouds,60.7522,-137.5108,Glacier View Inn
380,Hervey Bay,AU,66.02,broken clouds,-25.2986,152.8535,Oaks Hervey Bay Resort and Spa
382,Fujin,CN,73.06,moderate rain,47.26,132.0322,Fujin shengda hotel
383,Karratha,AU,61.12,clear sky,-20.7377,116.8463,Karratha International Hotel
384,Norman Wells,CA,73.44,scattered clouds,65.282,-126.8329,Heritage Hotel
387,Chebarkul,RU,55.31,broken clouds,54.9749,60.3633,"Family Resort ""Utes"""
388,Salalah,OM,78.89,overcast clouds,17.0151,54.0924,Salalah Gardens Hotel
392,Quthing,LS,50.76,broken clouds,-30.4,27.7003,Mountainside Hotel
394,Maceio,BR,78.24,broken clouds,-9.6658,-35.7353,Maceió Atlantic Suites
395,Praia,CV,79.34,broken clouds,14.9215,-23.5087,Hotel Oasis Atlantico Praiamar
396,Talnakh,RU,60.21,overcast clouds,69.4865,88.3972,Talnakh Hotel
397,Yushu,CN,72.72,moderate rain,44.8,126.5333,Heyue Hotel
398,Port Augusta,AU,47.62,clear sky,-32.5,137.7667,Majestic Oasis Apartments
399,Luwuk,ID,74.35,scattered clouds,-0.9516,122.7875,Swiss-Belinn Hotel Luwuk
